MD_ft,Incl_deg,Tension_mu_0.1,Torque_mu_0.1,Tension_mu_0.2,Torque_mu_0.2,Tension_mu_0.3,Torque_mu_0.3,Tension_mu_0.4,Torque_mu_0.4,Tension_mu_0.5,Torque_mu_0.5
0,0,0,0,0,0,0,0,0,0,0,0
1000,2,61750,65,67364,130,72977,196,78591,261,84205,326
2000,10,84904,142,92623,284,100341,427,108060,570,115778,712
3000,30,105265,364,114835,729,124404,1094,133974,1460,143543,1825
4000,45,119828,667,130722,1335,141615,2004,152509,2673,163402,3342
5000,60,130126,1038,141956,2078,153785,3118,165615,4159,177444,5199
6000,70,137170,1441,149640,2884,162110,4327,174580,5771,187049,7215
7000,80,140746,1863,153541,3729,166336,5594,179131,7461,191925,9327
8000,85,142541,2290,155499,4583,168457,6876,181415,9170,194372,11464
9000,88,143259,2718,156283,5440,169306,8162,182329,10885,195352,13608
10000,90,143259,3147,156283,6298,169306,9449,182329,12601,195352,15753
